'bout	baʊt
'cause	kəz
'course	kɔɹs
'cuse	kjuz
'em	əm
'frisco	ˈfɹɪs.koʊ
'gain	ɡɛn
'kay	keɪ
'm	əm
'n	ən
'round	ɹaʊnd
's	ɛs
'til	tɪl
'tis	tɪz
'twas	twʌz
a	ə|eɪ
a's	eɪz
a.	eɪ
a.'s	eɪz
a.d.	ˌeɪˈdi
a.m.	ˌeɪˈɛm
a.s	eɪz
aaa	ˌtɹɪ.pəˈleɪ
aaberg	ˈɑ.bɚɡ
aachen	ˈɑ.kən
aachener	ˈɑ.kə.nɚ
aaker	ˈɑ.kɚ
aalborg	ˈɔl.bɔɹɡ|ˈɑl.bɔɹɡ
aalburg	ˈæl.bɚɡ
aalen	ˈæl.ən|ˈɑ.lən
aaliyah	ˌɑˈliˌɑ
aalseth	ˈɑl.sɛθ
aalsmeer	ˈɑl.smɪɹ
aalto	ˈɑlˌtoʊ
aamodt	ˈɑ.mət
aancor	ˈɑnˌkɔɹ
aardema	ɑɹˈdɛm.ə
aardvark	ˈɑɹdˌvɑɹk
aardvarks	ˈɑɹdˌvɑɹks
aargh	ɑɹɡ
aarhus	ˌɑˈhus
aaron	ˈɛɹ.ən
aaron's	ˈɛɹ.ənz
aarons	ˈɛɹ.ənz
aaronson	ˈɛɹ.ən.sən|ˈɑ.ɹən.sən
aaronson's	ˈɛɹ.ən.sənz|ˈɑ.ɹən.sənz
aarti	ˈɑɹˌti
aase	ɑs
aasen	ˈɑ.sən
ab	æb|ˈeɪˈbi
aba	ˌeɪˌbiˈeɪ
ababa	əˈbɑ.bə|ˈɑ.bə.bə
abacha	ˈæb.ə.kə
aback	əˈbæk
abaco	ˈæb.əˌkoʊ
abacus	ˈæb.ə.kəs
abad	əˈbɑd
abadaka	əˈbæd.ə.kə
abadi	əˈbæd.i
abadie	əˈbæd.i
abair	əˈbɛɹ
abalkin	əˈbɑl.kɪn
abalone	ˌæ.bəˈloʊ.ni
abalones	ˌæ.bəˈloʊ.niz
abalos	ɑˈbɑ.loʊz
abandon	əˈbæn.dən
abandoned	əˈbæn.dənd
abandoning	əˈbæn.də.nɪŋ
abandonment	əˈbæn.dən.mənt
abandonments	əˈbæn.dən.mənts
abandons	əˈbæn.dənz
abanto	əˈbæn.toʊ
abarca	əˈbɑɹ.kə
abare	ɑˈbɑ.ɹi
abascal	ˈæb.ə.skəl
abash	əˈbæʃ
abashed	əˈbæʃt
abasia	əˈbeɪʒ.jə
abate	əˈbeɪt
abated	əˈbeɪ.tɪd
abatement	əˈbeɪt.mənt
abatements	əˈbeɪt.mənts
abates	əˈbeɪts
abating	əˈbeɪ.tɪŋ
abattoir	ˌæ.bəˈtwɑɹ
abba	ˈæb.ə
abbado	əˈbɑ.doʊ
abbas	əˈbɑs
abbasi	ɑˈbɑ.si
abbate	ˈɑ.beɪt
abbatiello	ɑ.bɑ.tiˈɛl.oʊ
abbe	ˈæb.i|æˈbeɪ
abbenhaus	ˈæb.ənˌhaʊs
abbett	əˈbɛt
abbeville	ˈæb.vɪl
abbey	ˈæb.i
abbey's	ˈæb.iz
abbie	ˈæb.i
abbitt	ˈæb.ɪt
abbot	ˈæb.ət
abbotstown	ˈæb.ətˈstaʊn
abbott	ˈæb.ət
abbott's	ˈæb.əts
abbottstown	ˈæb.ətˈstaʊn
abboud	əˈbud|əˈbaʊd
abbreviate	əˈbɹi.viˌeɪt
abbreviated	əˈbɹi.viˌeɪ.tɪd
abbreviates	əˈbɹi.viˌeɪts
abbreviating	əˈbɹi.viˌeɪ.tɪŋ
abbreviation	əˌbɹi.viˈeɪ.ʃən
abbreviations	əˌbɹi.viˈeɪ.ʃənz
abbruzzese	ɑ.bɹutˈseɪ.zi
abbs	æbz
abby	ˈæb.i
abc	ˈeɪˌbiˌsi
